pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Redemption Barrel Proof Straight High Rye Whiskey 9 Year,Redemption,109.2,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259001463
Redemption Barrel Proof Straight Bourbon Whiskey 9 Year,Redemption,110.6,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259001470
Bib & Tucker Single Barrel Select Bourbon Whiskey 12 Year,Bib & Tucker,99.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259001517
Redemption Straight Bourbon Whiskey Finished in Cognac Casks,Redemption,99.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259002507
Redemption Tyler's Mistake Blended Straight Whiskies,Redemption,94.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,31259002750
Redemption Wheated Bourbon,Redemption,96.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259002774
Redemption Barrel Proof Straight Rye Whiskey 10 Year,Redemption,110.2,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259002927|702380778554
Redemption Barrel Proof High Rye Bourbon 10 Year,Redemption,114.8,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259002934
Redemption The Ancients Premium Rye Whiskey 18 Year,Redemption,109.9,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259002965
Bib & Tucker Small Batch Bourbon Whiskey 6 Year,Bib & Tucker,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259003542|856442005000
Masterson's Straight Rye Whiskey 10 Year,Masterson's,90.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259003559|89105810066|856442005154
Riverboat Rye Whiskey,Riverboat,90.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259003962
Bib & Tucker Single Barrel Small Batch Bourbon Whiskey 11 Year,Bib & Tucker,135.4,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259003993
Bib & Tucker Small Batch Bourbon Whiskey 10 Year,Bib & Tucker,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259004334
Redemption Rum Cask Finish Straight Rye Whiskey,Redemption,94.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259004488
Redemption High Rye Bourbon Single Barrel Select,Redemption,105.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259004501
Redemption Bourbon,Redemption,84.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259004624
Bib & Tucker Small Batch Bourbon Whiskey Single Barrel Select 12 Year,Bib & Tucker,99.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259004754
Bib & Tucker Small Batch Bourbon Whiskey Collector's Edition 10 Year,Bib & Tucker,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259004853
American Brick Spirits Straight Bourbon Whiskey,American Brick Spirits,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259005140
Redemption Sur Lee Straight Rye Whiskey,Redemption,94.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259005195
Bib & Tucker Double Char Small Batch Bourbon Whiskey 6 Year,Bib & Tucker,88.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259005225
Redemption The Ancients Premium Bourbon Whiskey 18 Year,Redemption,103.4,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259005652
Bib & Tucker Small Batch Gold Roast Bourbon Whiskey 6 Year,Bib & Tucker,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259005751
Black Rock Bourbon Whiskey,Black Rock,94.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,33255940470
Black Rock Maple Bourbon Whiskey,Black Rock,80.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,33255940562
Black Rock Barrel Proof Bourbon Whiskey,Black Rock,114.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,33255940586
REI Pure Malt Japanese Whisky,REI,84.0,Japanese,Japan,Other,de5a94e4-b203-486e-bec7-5c092d50b039,37203990944
Colorado Honey Bourbon Whiskey,Colorado Honey,74.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,38801065126
Michter's Straight Rye Whiskey 10 Year,Michter's,92.8,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,39383002288
Michter's Single Barrel Bourbon Whiskey 10 Year,Michter's,94.4,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383002295
Michter's US*1 Small Batch Unblended American Whiskey,Michter's,83.4,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,39383005944
Michter's US*1 Unblended American Whiskey,Michter's,83.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,39383005951
Michter's US*1 Single Barrel Straight Rye Whiskey,Michter's,84.8,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,39383006507|39383006514
